year,community_area,primary_type,count
2001,1,MOTOR VEHICLE THEFT,7
2001,1,THEFT,19
2001,1,DECEPTIVE PRACTICE,9
2001,1,SEX OFFENSE,3
2001,1,OFFENSE INVOLVING CHILDREN,10
2001,1,CRIM SEXUAL ASSAULT,2
2001,1,HOMICIDE,6
2001,1,BATTERY,2
2001,1,CRIMINAL SEXUAL ASSAULT,1
2001,1,OTHER OFFENSE,1
2001,2,CRIM SEXUAL ASSAULT,3
2001,2,HOMICIDE,2
2001,2,THEFT,14
2001,2,DECEPTIVE PRACTICE,7
2001,2,MOTOR VEHICLE THEFT,9
2001,2,OTHER OFFENSE,3
2001,2,BATTERY,2
2001,2,SEX OFFENSE,1
2001,2,OFFENSE INVOLVING CHILDREN,1
2001,3,ROBBERY,1
2001,3,BATTERY,3
2001,3,CRIMINAL DAMAGE,2
2001,3,CRIM SEXUAL ASSAULT,2
2001,3,DECEPTIVE PRACTICE,10
2001,3,THEFT,17
2001,3,MOTOR VEHICLE THEFT,8
2001,3,SEX OFFENSE,3
2001,3,LIQUOR LAW VIOLATION,1
2001,3,PUBLIC PEACE VIOLATION,1
2001,3,ASSAULT,1
2001,3,NARCOTICS,7
2001,3,OTHER OFFENSE,4
2001,3,OFFENSE INVOLVING CHILDREN,3
2001,3,BURGLARY,1
2001,3,HOMICIDE,9
2001,4,CRIM SEXUAL ASSAULT,1
2001,4,CRIMINAL DAMAGE,3
2001,4,BURGLARY,3
2001,4,THEFT,12
2001,4,DECEPTIVE PRACTICE,9
2001,4,BATTERY,2
2001,4,MOTOR VEHICLE THEFT,1
2001,4,ASSAULT,1
2001,4,OFFENSE INVOLVING CHILDREN,2
2001,4,SEX OFFENSE,1
2001,4,HOMICIDE,1
2001,5,DECEPTIVE PRACTICE,4
2001,5,CRIM SEXUAL ASSAULT,1
2001,5,OTHER OFFENSE,2
2001,5,THEFT,11
2001,5,MOTOR VEHICLE THEFT,5
2001,5,SEX OFFENSE,1
2001,5,HOMICIDE,2
2001,6,THEFT,29
2001,6,HOMICIDE,5
2001,6,OTHER OFFENSE,4
2001,6,BATTERY,1
2001,6,DECEPTIVE PRACTICE,8
2001,6,MOTOR VEHICLE THEFT,4
2001,6,BURGLARY,3
2001,7,MOTOR VEHICLE THEFT,8
2001,7,ROBBERY,2
2001,7,THEFT,29
2001,7,OTHER OFFENSE,3
2001,7,CRIM SEXUAL ASSAULT,2
2001,7,OFFENSE INVOLVING CHILDREN,2
2001,7,BURGLARY,2
2001,7,DECEPTIVE PRACTICE,13
2001,7,HOMICIDE,1
2001,8,PUBLIC PEACE VIOLATION,1
2001,8,THEFT,41
2001,8,SEX OFFENSE,2
2001,8,CRIMINAL SEXUAL ASSAULT,2
2001,8,ROBBERY,7
2001,8,NARCOTICS,1
2001,8,CONCEALED CARRY LICENSE VIOLATION,1
2001,8,DECEPTIVE PRACTICE,23
2001,8,OTHER OFFENSE,6
2001,8,HOMICIDE,5
2001,8,CRIM SEXUAL ASSAULT,4
2001,8,MOTOR VEHICLE THEFT,12
2001,8,BATTERY,5
2001,8,OFFENSE INVOLVING CHILDREN,3
2001,8,BURGLARY,7
2001,9,OFFENSE INVOLVING CHILDREN,1
2001,9,DECEPTIVE PRACTICE,1
2001,9,MOTOR VEHICLE THEFT,1
2001,9,SEX OFFENSE,1
